,bench,cvc5,default,default-winning,default-winning-many,egraph,learned,learned-winning,learned-winning-many,random,random-winning,random-winning-many,size,size-winning,size-winning-many
148,unbdd_inv_gen_sum3,0.057,2.875,3.501,3.032,0.09,3.271,2.951,2.351,-,-,-,2.398,2.374,2.546
149,unbdd_inv_gen_sum4,1.656,3.892,3.972,3.751,-,7.78,4.409,4.338,-,-,-,3.447,3.153,5.575
150,unbdd_inv_gen_tcs,-,-,-,-,0.451,-,-,-,-,-,-,-,-,-
151,unbdd_inv_gen_term2,0.038,2.764,3.972,3.384,0.092,3.048,3.138,2.227,2.362,2.486,2.509,2.277,2.422,2.698
152,unbdd_inv_gen_term3,0.028,2.797,4.011,3.584,0.086,3.753,2.701,2.27,2.456,2.568,2.472,2.267,2.391,2.543
153,unbdd_inv_gen_trex1,2.558,2.807,3.13,3.408,0.09,2.832,2.738,2.504,-,-,-,2.239,2.434,2.683
154,unbdd_inv_gen_trex2,0.024,2.779,3.629,3.602,0.085,2.708,2.77,2.288,2.373,2.581,2.44,2.232,2.456,2.727
155,unbdd_inv_gen_trex4,0.03,2.873,3.457,3.545,0.088,2.738,2.735,2.317,2.397,2.53,2.473,2.309,2.463,2.623
156,unbdd_inv_gen_vmail,0.035,2.865,3.516,3.566,0.088,2.732,2.815,2.36,-,-,-,2.607,2.502,2.704
157,unbdd_inv_gen_w1,0.038,3.237,3.468,3.517,0.085,2.837,2.825,2.365,-,-,-,2.812,2.522,2.316
158,unbdd_inv_gen_w2,0.09,2.839,3.642,3.536,0.091,2.765,2.759,2.336,-,-,-,2.64,2.459,2.29
159,unbdd_inv_gen_winf1,0.029,2.833,3.473,2.989,0.085,2.701,2.73,2.232,-,2.549,-,2.6,2.449,2.286
