benchmark,status,solution
mpg_guard3.sl,timeout,-
inv_gen_w2.sl,infeasible,-
t17.sl,success,(= j j)
t2.sl,success,(> data.length 0)
array_search_12.sl,timeout,-
unbdd_inv_gen_term2.sl,success,(and (<= (+ (* 0 x) (* 0 x)) 0) (<= (+ (* 0 x) (* 0 x)) 0))
unbdd_inv_gen_winf2.sl,success,(and (= (+ (* -1 x) (* 0 x)) 0) (<= (+ (* 0 x) (* 0 x)) 0))
mpg_guard2.sl,timeout,-
inv_gen_ex23.sl,timeout,-
inv_gen_trex1.sl,success,(and (<= (+ (* -1 z) (* 0 x)) -1) (<= (+ (* 0 x) (* 0 x)) 3))
qm_choose_yz.sl,success,(ite (< y (ite (< x 1) x y)) y (ite (< (ite (< x 1) x y) y) y (ite (< x 1) x z)))
s1.sl,timeout,-
max8.sl,timeout,-
unbdd_inv_gen_cgr1.sl,infeasible,-
unbdd_inv_gen_fig3.sl,infeasible,-
qm_max3.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 2.14s
     Running `target/release/liasynth examples/LIA/qm_max3.sl`
Candidate: x
Candidate: y
Candidate: (ite (< x 1) y x)
Candidate: (ite (< (+ 1 y) 1) x (ite (< x 1) y x))
Candidate: (ite (< (+ y (+ 1 y)) x) x (ite (< x 1) y x))
Candidate: (ite (< 1 (- 1 (ite (< (+ y (+ 1 y)) x) x 0))) y (ite (< (+ y (+ 1 y)) x) x (ite (< x 1) y x)))
Candidate: (ite (< 1 (- 1 (ite (< (+ y (+ 1 y)) x) x 0))) z (ite (< (+ y (+ 1 y)) x) x (ite (< x 1) y x)))
Candidate: (ite (< (+ (- 1 y) x) 1) z (+ 1 y))
Candidate: (ite (< (- x (- 1 y)) (ite (< 1 x) 0 x)) (ite (< (+ (- 1 y) x) 1) z (+ 1 y)) x)
Candidate: (ite (< (ite (< 1 x) z y) (+ (- 1 y) x)) (ite (< (ite (< 1 x) z y) x) x z) y)
Candidate: (ite (< (+ z (- 1 y)) 0) y (ite (< (ite (< 1 x) z y) x) x z))
Candidate: (ite (< (ite (< (ite (< 1 x) z y) x) x z) (ite (< x 1) y x)) x (ite (< (+ z (- 1 y)) 0) y (ite (< (ite (< 1 x) z y) x) x z)))
Candidate: (ite (< (ite (< (ite (< 1 x) z y) x) x z) (ite (< (+ y (+ 1 y)) (ite (< 1 x) z y)) y (ite (< (+ y (+ 1 y)) x) x (ite (< x 1) y x)))) y (ite (< (+ z (- 1 y)) 0) y (ite (< (ite (< 1 x) z y) x) x z)))
memory allocation of 224 bytes failed
Aborted (core dumped)
",-
MPwL_d1s3.sl,success,1
qm_in_range.sl,success,(ite (< (ite (< y x) (ite (< 1 z) (- z x) x) x) (ite (< y 0) z (ite (< 1 z) 1 x))) (ite (< (ite (< y x) (ite (< 1 z) (- z x) x) x) (ite (< 1 z) 1 x)) 0 (ite (< (ite (< y 0) z (ite (< 1 z) 1 x)) (ite (< 1 z) (- z x) x)) 1 (ite (< (ite (< x z) (ite (< y 0) z (ite (< 1 z) 1 x)) (ite (< x z) (- z x) y)) (ite (< 0 x) (- z x) (ite (< y 0) z (ite (< 1 z) 1 x)))) x (ite (< y x) (ite (< y 0) 1 (ite (< x z) (ite (< y 0) z (ite (< 1 z) 1 x)) 0)) 0)))) (ite (< (ite (< x z) (- z x) y) (ite (< y x) (ite (< 1 z) (- z x) x) x)) 0 (ite (< y x) (ite (< y 0) 1 (ite (< x z) (ite (< y 0) z (ite (< 1 z) 1 x)) 0)) 0)))
unbdd_inv_gen_sum3.sl,infeasible,-
inv_gen_fig1.sl,infeasible,-
unbdd_inv_gen_w2.sl,infeasible,-
unbdd_inv_gen_trex2.sl,success,(and (<= (+ (* 0 x) (* 0 x)) 0) (<= (+ (* 0 x) (* 0 x)) 0))
max3.sl,timeout,-
inv_gen_cgr1.sl,infeasible,-
inv_gen_finf1.sl,success,(and (= (+ (* 1 x) (* 1 x)) 0) (<= (+ (* 0 i) (* 0 i)) 2))
inv_gen_finf2.sl,success,(and (= (+ (* 1 x) (* 1 x)) 0) (<= (+ (* 0 i) (* 0 i)) 1))
array_search_15.sl,timeout,-
unbdd_inv_gen_cegar2.sl,infeasible,-
inv_gen_fig6.sl,success,(and (<= (+ (* 0 y) (* 0 y)) 0) (<= (+ (* 0 y) (* 0 y)) 0))
MPwL_d4s3.sl,timeout,-
unbdd_inv_gen_vmail.sl,success,(and (<= (+ (* -1 i) (* -1 i)) 0) (<= (+ (* 0 i) (* 0 i)) 0))
t15.sl,success,enabled
max4.sl,timeout,-
t8.sl,success,(< 0 x2)
s0_d1.sl,timeout,-
mpg_example2.sl,timeout,-
unbdd_inv_gen_array.sl,infeasible,-
unbdd_inv_gen_fig9.sl,success,(and (= (+ (* 1 y) (* 0 x)) 0) (= (+ (* 1 y) (* 1 x)) 0))
LinExpr_eq2ex.sl,timeout,-
qm_neg_eq_5.sl,timeout,-
max14.sl,timeout,-
MPwL_d5s3.sl,timeout,-
commutative.sl,success,(+ y x)
array_search_3.sl,timeout,-
qm_neg_3.sl,success,(ite (< (ite (< (ite (< z y) y x) x) x (ite (< (ite (< (ite (< z y) y x) 0) z 0) 0) 1 0)) 0) 1 (ite (< (ite (< z y) y x) x) 0 (ite (< (ite (< z y) y x) x) x (ite (< (ite (< (ite (< z y) y x) 0) z 0) 0) 1 0))))
qm_neg_4.sl,timeout,-
MPwoL_d1s3.sl,success,1
MPwoL_d5s3.sl,timeout,-
unbdd_inv_gen_fig6.sl,success,(and (<= (+ (* 0 y) (* 0 y)) 0) (<= (+ (* 0 y) (* 0 y)) 0))
inv_gen_sum1.sl,infeasible,-
t3.sl,success,(= y this.y)
qm_choose_01.sl,success,(ite (< 0 x) 0 1)
constant.sl,success,0
mpg_guard4.sl,timeout,-
unbdd_inv_gen_finf2.sl,success,(and (= (+ (* -1 x) (* -1 x)) 0) (<= (+ (* 0 i) (* 0 i)) 0))
t6.sl,infeasible,-
inv_gen_trex4.sl,success,(and (<= (+ (* 0 x) (* 0 x)) 3) (<= (+ (* 0 x) (* 0 x)) 3))
array_search_9.sl,timeout,-
array_search_8.sl,timeout,-
qm_neg_eq_4.sl,timeout,-
inv_gen_sum3.sl,infeasible,-
qm_area_sel_2.sl,timeout,-
array_search_6.sl,timeout,-
array_search_7.sl,timeout,-
inv_gen_term2.sl,success,(and (<= (+ (* 0 x) (* 0 x)) 0) (<= (+ (* 0 x) (* 0 x)) 0))
t7.sl,success,(>= 0 bufferIndex)
MPwoL_d1s7.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 4.40s
     Running `target/release/liasynth examples/LIA/MPwoL_d1s7.sl`
memory allocation of 240 bytes failed
Aborted (core dumped)
",-
array_search_11.sl,timeout,-
inv_gen_fig9.sl,infeasible,-
array_search_10.sl,timeout,-
t4.sl,infeasible,-
mpg_plane2.sl,success,(+ (- (+ y x) (- (- 0 x) y)) (+ (+ (+ x (+ 1 y)) 1) 1))
qm_neg_5.sl,timeout,-
s0_d2.sl,timeout,-
unbdd_inv_gen_tcs.sl,infeasible,-
t5.sl,success,MC_741360
t11.sl,success,(not NCK_NEQ_741360)
unbdd_inv_gen_ex14.sl,infeasible,-
unbdd_inv_gen_n_c11.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 3.66s
     Running `target/release/liasynth examples/LIA/unbdd_inv_gen_n_c11.sl`
Candidate: (and (<= (+ (* 0 i) (* 0 i)) -7) (<= (+ (* 0 i) (* 0 i)) -7))
memory allocation of 224 bytes failed
Aborted (core dumped)
",-
unbdd_inv_gen_trex4.sl,success,(and (<= (+ (* 0 x) (* 0 x)) 0) (<= (+ (* 0 x) (* 0 x)) 0))
mpg_plane3.sl,timeout,-
qm_loop_2.sl,success,(ite (< 0 y) (ite (< 0 y) x 1) (ite (< 0 x) (ite (< 0 y) x (- x 1)) 3))
unbdd_inv_gen_sum4.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 3.66s
     Running `target/release/liasynth examples/LIA/unbdd_inv_gen_sum4.sl`
Candidate: (and (<= (+ (* 0 s) (* 0 s)) -15) (<= (+ (* 0 s) (* 0 s)) -15))
memory allocation of 224 bytes failed
Aborted (core dumped)
",-
qm_max4.sl,timeout,-
array_search_14.sl,timeout,-
s0_d0.sl,timeout,-
max12.sl,timeout,-
inv_gen_fig8.sl,success,(and (= (+ (* -1 l) (* -1 l)) 0) (<= (+ (* 0 l) (* 0 l)) 1))
unbdd_inv_gen_fig8.sl,success,(and (= (+ (* -1 l) (* 0 l)) 0) (<= (+ (* 0 l) (* 0 l)) 0))
unbdd_inv_gen_fig1.sl,infeasible,-
unbdd_inv_gen_term3.sl,success,(and (<= (+ (* 0 x) (* 0 x)) 0) (<= (+ (* 0 x) (* 0 x)) 0))
MPwoL_d4s7.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 4.34s
     Running `target/release/liasynth examples/LIA/MPwoL_d4s7.sl`
memory allocation of 240 bytes failed
Aborted (core dumped)
",-
max5.sl,timeout,-
inv_gen_trex2.sl,success,(and (<= (+ (* 0 x) (* 0 x)) 0) (<= (+ (* 0 x) (* 0 x)) 0))
qm_neg_2.sl,success,(ite (< y 0) (ite (< x 0) 1 0) 0)
inv_gen_winf2.sl,success,(and (= (+ (* 1 x) (* 1 x)) 0) (<= (+ (* 0 x) (* 0 x)) 0))
t1.sl,success,(= this.splitState stopTime)
