benchmark,status,solution
inv_gen_cgr1.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 2.41s
     Running `target/release/liasynth examples/cleaned-LIA/inv_gen_cgr1.sl`
Candidate: (= x x)
Candidate: (< x x)
Candidate: (= y x)
Candidate: (< (- (- (+ (- (- (- x) 1) (+ (+ x x) 1)) (- (- (- x) 1) (+ (+ x x) 1))) (+ (+ x x) 1)) (- (- (- (- x) (+ x x)) (+ (+ x x) 1)) (+ (+ (+ (+ x x) x) 1) (+ (+ (+ x x) x) 1)))) (+ (+ x x) 1))
Candidate: (< (+ x x) (- (- 1 (- x 1)) (- (- (- (- x) x) 1) 1)))

thread 'main' has overflowed its stack
fatal runtime error: stack overflow, aborting
Aborted (core dumped)
",-
inv_gen_finf1.sl,timeout,-
inv_gen_finf2.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 2.44s
     Running `target/release/liasynth examples/cleaned-LIA/inv_gen_finf2.sl`
Candidate: (= i i)
Candidate: (< i i)
Candidate: (< i n)

thread 'main' has overflowed its stack
fatal runtime error: stack overflow, aborting
Aborted (core dumped)
",-
array_search_15.sl,timeout,-
unbdd_inv_gen_cegar2.sl,timeout,-
inv_gen_fig6.sl,success,(= y y)
MPwL_d4s3.sl,timeout,-
unbdd_inv_gen_vmail.sl,success,(< (- i) 1)
t15.sl,success,enabled
max4.sl,timeout,-
t8.sl,success,(= x2 x2)
s0_d1.sl,timeout,-
mpg_example2.sl,timeout,-
unbdd_inv_gen_array.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 2.82s
     Running `target/release/liasynth examples/cleaned-LIA/unbdd_inv_gen_array.sl`
Candidate: (= m m)
Candidate: (< m m)
Candidate: (= a0 m)
Candidate: (= (- m a0) m)
Candidate: (< (- (- m) a0) 1)
Candidate: (< (- (- m) 1) (- a0 m))

thread 'main' has overflowed its stack
fatal runtime error: stack overflow, aborting
Aborted (core dumped)
",-
unbdd_inv_gen_fig9.sl,timeout,-
LinExpr_eq2ex.sl,timeout,-
qm_neg_eq_5.sl,timeout,-
max14.sl,timeout,-
MPwL_d5s3.sl,timeout,-
commutative.sl,success,0
array_search_3.sl,timeout,-
qm_neg_3.sl,timeout,-
qm_neg_4.sl,timeout,-
MPwoL_d1s3.sl,success,1
