benchmark,status,solution
inv_gen_sum4.sl,infeasible,-
s3.sl,success,-1
LinExpr_inv1.sl,timeout,-
mpg_example4.sl,timeout,-
inv_gen_term3.sl,success,(and (<= (+ (* 0 x) (* 0 x)) 1) (<= (+ (* 0 x) (* 0 x)) 1))
mpg_guard1.sl,timeout,-
max2.sl,success,(ite (<= (ite (<= 0 x) (ite (<= 0 x) x y) (ite (<= (ite (<= 0 y) y x) y) y x)) y) y x)
max15.sl,timeout,-
mpg_guard3.sl,timeout,-
inv_gen_w2.sl,success,(and (<= (+ (* 1 x) (* -1 n)) -1) (<= (+ (* 0 x) (* 0 x)) 1))
t17.sl,success,(= j j)
t2.sl,success,(> data.length 0)
array_search_12.sl,timeout,-
unbdd_inv_gen_term2.sl,success,(and (<= (+ (* 0 x) (* 0 x)) 0) (<= (+ (* 0 x) (* 0 x)) 0))
unbdd_inv_gen_winf2.sl,success,(and (= (+ (* -1 x) (* -1 x)) 0) (<= (+ (* 0 x) (* 0 x)) 0))
mpg_guard2.sl,timeout,-
inv_gen_ex23.sl,timeout,-
inv_gen_trex1.sl,success,(and (<= (+ (* -1 z) (* -1 z)) -2) (<= (+ (* 0 x) (* 0 x)) 1))
qm_choose_yz.sl,success,(ite (< x 1) y z)
s1.sl,timeout,-
max8.sl,timeout,-
unbdd_inv_gen_cgr1.sl,infeasible,-
unbdd_inv_gen_fig3.sl,infeasible,-
qm_max3.sl,success,(ite (< y (ite (< z x) x z)) (ite (< z x) x z) y)
MPwL_d1s3.sl,success,1
qm_in_range.sl,success,(ite (< (- z (ite (< 1 (- x y)) (ite (< (ite (< y 0) 1 (- z (+ y 1))) (- z (+ y 1))) 1 (ite (< 1 (- x y)) (ite (< z (ite (< (- z (+ y 1)) 1) 0 1)) 0 (ite (< y x) (ite (< (- z (+ y 1)) 1) 0 1) y)) (ite (< y x) (ite (< (- z (+ y 1)) 1) 0 1) 0))) (ite (< y x) (ite (< (- z (+ y 1)) 1) 0 1) 0))) x) 0 (ite (< 1 (- x y)) (ite (< (ite (< y 0) 1 (- z (+ y 1))) (- z (+ y 1))) 1 (ite (< 1 (- x y)) (ite (< z (ite (< (- z (+ y 1)) 1) 0 1)) 0 (ite (< y x) (ite (< (- z (+ y 1)) 1) 0 1) y)) (ite (< y x) (ite (< (- z (+ y 1)) 1) 0 1) 0))) (ite (< y x) (ite (< (- z (+ y 1)) 1) 0 1) 0)))
unbdd_inv_gen_sum3.sl,infeasible,-
